id;ingredient_name;additional_cost;image_url;created_date;updated_date;deleted_date
1;finding;30795.08;under amid squiggly;2024-02-05T23:47:45;2024-02-05T19:11:49;2024-02-06T03:26:29
2;gladly;8052.53;agile hastily boo;2024-02-06T08:46:01;2024-02-06T11:28:41;2024-02-06T13:57:32
3;while;32683.22;qua;2024-02-05T22:39:28;2024-02-06T15:39:56;2024-02-05T20:40:45
4;after when minus;4486.26;blah;2024-02-05T23:03:24;2024-02-05T17:19:09;2024-02-06T04:19:26
5;than wrathful yet;5017.25;pfft kissingly from;2024-02-06T14:05:19;2024-02-06T03:29:54;2024-02-06T01:30:04
6;transfigure aha;19372.63;greatly zealous till;2024-02-06T01:21:55;2024-02-05T18:54:08;2024-02-05T21:46:37
7;thankfully geez pitching;390.98;oddly mortally;2024-02-06T04:27:22;2024-02-06T11:29:52;2024-02-05T16:16:48
8;inwardly;17228.56;until collector honk;2024-02-06T15:19:33;2024-02-06T10:21:30;2024-02-06T13:14:32
9;uh-huh;17531.23;likewise whose;2024-02-06T09:27:08;2024-02-06T14:59:07;2024-02-05T21:09:44
10;vertigo;8668.2;ew utterly desecrate;2024-02-06T04:48:14;2024-02-06T01:01:44;2024-02-06T14:00:47
