id;name;price;description;available;image_url;created_date;updated_date;deleted_date
1;shanty notwithstanding baptise;15049.15;uncommon near spool;true;pancake miserly;2024-02-06T05:49:03;2024-02-05T17:18:14;2024-02-06T08:10:19
2;as an;4383.19;dreamily;false;wrongly;2024-02-05T23:34:01;2024-02-05T17:54:01;2024-02-05T23:26:20
3;phooey;5884.04;prostrate delightfully like;true;cultivated;2024-02-05T19:15:01;2024-02-05T22:27:21;2024-02-06T09:28:12
4;tart fruitful lawyer;1616.24;alongside patience;true;ugh considerate ogle;2024-02-05T17:30:30;2024-02-06T07:29:59;2024-02-06T02:32:29
5;upright thankfully memorial;10218.26;yippee welly;true;than blah;2024-02-06T05:03:36;2024-02-06T00:02:22;2024-02-05T17:54:18
6;meanwhile unfortunately ugh;11697.99;wholly fooey yippee;true;mmm;2024-02-06T03:33:30;2024-02-06T07:13:44;2024-02-06T15:05:38
7;meanwhile experience whose;9365.96;quirkily elevator;true;mysteriously boo driving;2024-02-05T23:50:43;2024-02-05T22:37:19;2024-02-06T13:37:21
8;gee;32219.38;although astride;false;chisel;2024-02-05T16:42:56;2024-02-06T01:27:43;2024-02-06T09:53:11
9;before whoa;29423.43;however;false;except cold;2024-02-06T07:02:55;2024-02-05T22:47:44;2024-02-06T10:26:00
10;boo;2947.39;stingy chargesheet;true;cast yippee per;2024-02-05T17:56:56;2024-02-05T16:04:27;2024-02-06T11:52:32
