id;order_no;order_date;status;created_date;updated_date;deleted_date
1;jovial lively;2024-02-05T19:20:44;PENDING;2024-02-06T12:46:32;2024-02-05T23:02:00;2024-02-06T12:35:26
2;convulse;2024-02-06T02:32:44;DECLINED;2024-02-05T21:04:57;2024-02-06T15:20:10;2024-02-06T06:42:46
3;of mmm;2024-02-06T11:42:24;DECLINED;2024-02-05T19:59:47;2024-02-05T22:48:55;2024-02-05T22:47:09
4;motion attached;2024-02-06T12:41:58;DECLINED;2024-02-06T09:36:55;2024-02-05T20:44:01;2024-02-06T00:33:02
5;offend ouch ah;2024-02-05T20:35:14;DECLINED;2024-02-06T06:01:14;2024-02-05T15:55:10;2024-02-06T04:56:56
6;consequently blowgun;2024-02-05T22:29:30;COMPLETED;2024-02-06T02:25:59;2024-02-06T03:07:13;2024-02-05T17:45:22
7;zesty;2024-02-06T07:28:11;COMPLETED;2024-02-05T21:58:09;2024-02-06T02:52:35;2024-02-06T02:48:02
8;about limit;2024-02-05T16:33:03;COMPLETED;2024-02-06T06:19:05;2024-02-06T12:55:57;2024-02-06T03:03:21
9;imaginary aw;2024-02-06T07:19:09;PENDING;2024-02-06T02:01:49;2024-02-06T14:55:22;2024-02-05T15:58:12
10;productive conception grade;2024-02-06T01:39:15;COMPLETED;2024-02-06T06:44:59;2024-02-06T09:13:02;2024-02-06T04:23:31
